Amazon Web Services	exhibitor	United States 	From Airbnb to Zocdoc, the world's top startups build on AWS. But they didn't do it alone. So whether you're looking for help solving a	https://web-summit-avenger.imgix.net/production/logos/original/3300d6e06b285ee92a8c16966b226120b3ad9122.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	enterprise software solutions
Google	exhibitor	United States 	Our mission is to organize the worldâs information and make it universally accessible and useful.	https://web-summit-avenger.imgix.net/production/logos/original/d85c079063f8d3f738cca487cc86836121818663.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	hardware,iot
Siemens	exhibitor	Germany 	Siemens empowers customers to transform society by creating technology with purpose. Our technologies accelerate theâ¦	https://web-summit-avenger.imgix.net/production/logos/original/e962ba5756f7859a0e8c62454de8bfc7fc7b91dd.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	hardware,iot
Microsoft	exhibitor	United States 	Microsoft is empowering people and organizations to transform business, create intelligent experiences and solve societyâs greatestâ¦	https://web-summit-avenger.imgix.net/production/logos/original/9e09ef4125ab5b73eca7e26b9cb7d86989220b2b.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	ai,machine learning
United Nations Global Compact	exhibitor	United States 	The United Nations Global Compact, a special initiative of the UN Secretary-General, guides and supports the global business communityâ¦	https://web-summit-avenger.imgix.net/production/logos/original/82bcfbe451e2198a5ff0479cfc98e1530bfdf2e9.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	philanthropy,social good
Qatar Development Bank (QDB)	exhibitor	Qatar 	QDB is 100% owned by the Government of the State of Qatar, with the main objective to contribute to the development andâ¦	https://web-summit-avenger.imgix.net/production/logos/original/67876bc13f9ab3a203262c30838f0df1f0cbfe54.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	politics,government,international trade
eToro	exhibitor	Israel 	eToro is a multi-asset investment platform that empowers people to grow their knowledge and wealth as part of a globalâ¦	https://web-summit-avenger.imgix.net/production/logos/original/02550318219c11075968d52c7758ade85c9c5d39.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	fintech
Brightlineâ¢ Initiative	exhibitor	United States 	Brightlineâ¢ is a Project Management Institute (PMI) initiative together with leading global organisations dedicated to helpingâ¦	https://web-summit-avenger.imgix.net/production/logos/original/87590f5629c07a5e7649ee5a3d1a3f8a9bf74d44.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	philanthropy,social good
Porsche	exhibitor	Germany 	Porscheâs vision is to become the most successful brand for exclusive and sporty mobility and therefore is very much engaging with digitalâ¦	https://web-summit-avenger.imgix.net/production/logos/original/7d98bde40154675488152ebfaee52ca69595118c.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	autotech
Booking.com	exhibitor	Netherlands 	Established in 1996, Booking.com has grown from a small Dutch start-up to one of the largest travel e-commerce companies inâ¦	https://web-summit-avenger.imgix.net/production/logos/original/d094379d3717aad697778add4ff841596f0a7c85.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	travel,hospitality
SAP	exhibitor	Germany 	SAP is committed to supporting companies of every size to become a best-run business. Together, we help the world runâ¦	https://web-summit-avenger.imgix.net/production/logos/original/6cba4e9c78ee0aeab13b5e5d62c4f1ef272be7b4.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	enterprise software solutions
Lenovo	exhibitor	China 	Lenovo is a US$50 billion Fortune Global 500 company operating in 180 markets around the world. Focused on a bold vision to deliverâ¦	https://web-summit-avenger.imgix.net/production/logos/original/7da457e3a2ae6f3393fe6f1481cbf6689e956c63.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	hardware,iot
EDP - Energias de Portugal, S.A.	exhibitor	Portugal 	EDP is a multinational utility company with 45 years of history. Being present in 22 countries, 4 continents, with more than 12.100â¦	https://web-summit-avenger.imgix.net/production/logos/original/76d3fe30a6b3ec80c30ae065bfd64eeb5187b843.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	environment,energy,clean tech
Saudi Arabian General Investment Authority (SAGIA)	exhibitor	Saudi Arabia 	The General Investment Authority (SAGIA) is the official investment promotion agency of Saudi Arabia,missioned to promoteâ¦	https://web-summit-avenger.imgix.net/production/logos/original/7c84a257e4f5caa934f0283bdce377bcda9de59c.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	politics,government,international trade
Huawei Consumer Business Group	exhibitor	China 	Huaweiâs products and services are available in more than 170 countries, and are used by a third of the worldâs population. Fifteen R&Dâ¦	https://web-summit-avenger.imgix.net/production/logos/original/87ec950a32e4b82952fec0c8e88d9cee40a2c0a1.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	telecommunications,utilities
Accenture	exhibitor	Ireland 	We provide innovative services that span Cloud systems integration and Application management, Security, Intelligent Platformâ¦	https://web-summit-avenger.imgix.net/production/logos/original/1eabbad08eece1c3bbb7cb28889562b7825649be.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	legal,consultancy
Cisco	exhibitor	United States 	Cisco understands that you run your business, by your rules. Our small business solutions enable your ambitions. Simple, secure,â¦	https://web-summit-avenger.imgix.net/production/logos/original/8fc1e14fa3e3e1d8fc0c331a21900abeb5f2b4d3.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	enterprise software solutions
Volkswagen Group	exhibitor	Germany 	The Volkswagen Group is one of the worldâs leading automobile manufacturers and the largest carmaker in Europe. The Groupâ¦	https://web-summit-avenger.imgix.net/production/logos/original/1c28f564f5dc2ba9c887f9ec75a96ccf400e055f.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	autotech
KPMG	exhibitor	Portugal 	You know KPMG, you might not know KPMG Private Enterprise. Weâre dedicated to working with businesses like yours. The KPMG Privateâ¦	https://web-summit-avenger.imgix.net/production/logos/original/d0044a0c3b68f1f62b3e01dfa4b83efbb20a026c.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	fintech
Samsung Next	exhibitor	United States 	Samsung Next is the innovation group empowering an ecosystem of builders and founders to bring their software and services toâ¦	https://web-summit-avenger.imgix.net/production/logos/original/424c1c8815238b21996d44644589200dea3ca56c.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	venture capital,private equity
HUAWEI	exhibitor	China 	Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure andâ¦	https://web-summit-avenger.imgix.net/production/logos/original/47f4a538aa0659ece2535aae1be11e7f5fa8d153.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	telecommunications,utilities
IESE Business School	exhibitor	Spain 	A Global Reach. A Transformational Impact. A Spirit of Service. For 60 years, IESE Business School has been at the forefront ofâ¦	https://web-summit-avenger.imgix.net/production/logos/original/6ed409cd80843b46437a9f480e77ca1fd4d5c592.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	education
HERE Technologies	exhibitor	Netherlands 	HERE, a location data and technology platform, moves people, businesses and cities forward by harnessing the power of location. Byâ¦	https://web-summit-avenger.imgix.net/production/logos/original/7c6aee99dbf42aa001aee5d4709c3e736b2650f8.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	autotech
Altice Portugal	exhibitor	Portugal 	Altice Portugal is the market leader in the telecommunications sector and the largest investor in Research, Development andâ¦	https://web-summit-avenger.imgix.net/production/logos/original/0e2327f1498ce814102306bb95fd306f3f72aac2.?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	telecommunications,utilities
Moscow export center	exhibitor	Russian Federation 	MADE IN MOSCOW program promotes products manufactured by Moscow companies to foreign markets by organizing collectiveâ¦	https://web-summit-avenger.imgix.net/production/logos/original/600de404e7003634761e77c17cdc0750b83f3174.png?ixlib=rb-3.2.1&auto=format&fit=fill&fill=solid&fill-color=white&w=300&h=300	politics,government,international trade
